# SOURCE: FAO Irrigation and Drainage Paper 29 Rev.1 (Ayers & Westcot, 1985)
# DATE: 2026-02-18
# DESCRIPTION: Crop salinity tolerance parameters using the FAO-29 threshold-slope model
# UNITS: ece_threshold_ds_per_m (dS/m), slope_b_pct (% yield loss per dS/m above threshold)
# LOGIC: Y/Ymax = 1 - b/100 * (ECe - ECe_threshold) when ECe > threshold, else Y/Ymax = 1.0
# DEPENDENCIES: Used by soil salinity yield reduction calculations (see calculations.md)
# ASSUMPTIONS: Kale uses cabbage (Brassica oleracea) as proxy since kale is the same species
crop,ece_threshold_ds_per_m,slope_b_pct,tolerance_class,notes
tomato,2.5,9.9,moderately_sensitive,FAO-29 Table 4
potato,1.7,12.0,moderately_sensitive,FAO-29 Table 4
onion,1.2,16.0,sensitive,FAO-29 Table 4
kale,1.8,9.7,moderately_sensitive,Cabbage (Brassica oleracea) proxy; FAO-29 Table 4
cucumber,2.5,13.0,moderately_sensitive,FAO-29 Table 4
